Common name,Lat_Min,Lat_Max,Lon_Min,Lon_Max,Year_Min,Year_Max,Count
Reed Warbler,56.359138,57.697274,-3.4662949999999997,-1.7763490000000002,1994.0,2004.0,116
Richard's Pipit,56.969547999999996,57.625404,-2.207221,-1.876089,2000.0,2009.0,15
Ring Ouzel,56.762398,57.688340000000004,-4.0730260000000005,-1.7933419999999998,1900.0,2010.0,205
Ring-billed Gull,57.32904,57.61645,-1.993341,-1.7930380000000001,2000.0,2007.0,45
Ring-necked Duck,56.25951,57.67443000000001,-3.1165950000000002,-1.993341,1999.0,2005.0,15
Ringed Plover,56.185331000000005,57.805083999999994,-4.253512000000001,-0.716286,1960.0,2010.0,1091
Robin,55.878003,57.83609499999999,-5.044068,-1.7514060000000002,1900.0,2010.0,1740
Rock Dove,56.185331000000005,57.697322,-3.57847,-1.7514060000000002,1984.0,2010.0,533
Rock Pipit,56.194527,57.703109,-2.89934,-1.7514060000000002,1992.0,2010.0,338
Rook,55.964323,57.697315,-4.401816,-1.752014,1960.0,2010.0,649
Rose-coloured Starling,57.14928199999999,57.688340000000004,-2.697494,-1.7763490000000002,2000.0,2008.0,16
Roseate Tern,57.0,57.6,-2.1,-1.8,2000.0,2010.0,35
Ross's Gull,57.499513,57.508494999999996,-1.793089,-1.7763490000000002,2005.0,2005.0,12
Rough-legged Buzzard,56.996767000000006,57.634414,-3.678743,-1.8593810000000002,1985.0,2005.0,17
Ruddy Duck,56.203298,57.681819,-3.2845269999999998,-1.8593810000000002,1980.0,1981.0,80
Ruddy Shelduck,57.140299,57.625418999999994,-2.357054,-1.859415,1996.0,2010.0,49
Ruff,56.762398,57.697287,-3.583126,-1.7514060000000002,1970.0,2010.0,992
Rustic Bunting,57.302085,57.302092,-2.043133,-1.9933459999999998,2007.0,2007.0,3
Sabine's Gull,56.956217,57.513001,-2.083834,-1.7846669999999998,2007.0,2007.0,3
Sand Martin,56.397539,57.696977000000004,-4.0730260000000005,-1.7763490000000002,1960.0,2010.0,592
Sanderling,56.185331000000005,57.697315,-2.831296,-1.7514060000000002,1993.0,2010.0,641
Sandwich Tern,56.753358999999996,57.70635600000001,-3.618978,-1.7254049999999999,1992.0,2010.0,636
Sardinian Warbler,57.32904,57.32904,-1.993341,-1.993341,1982.0,1982.0,1
Scandinavian Rock Pipit,57.526488,57.526488,-1.792936,-1.792936,1995.0,1995.0,1
