Common name,Lat_Min,Lat_Max,Lon_Min,Lon_Max,Year_Min,Year_Max,Count
Frigatebirds,57.513001,57.513001,-1.7846669999999998,-1.7846669999999998,2010.0,2010.0,1
Fulmar,56.762398,57.703784,-3.678743,-1.7514060000000002,1985.0,2010.0,361
Gadwall,56.25951,57.697315,-3.678743,-1.7763490000000002,1970.0,2009.0,531
Gannet,56.753358999999996,57.697322,-3.150404,-1.7514060000000002,1992.0,2010.0,431
Gannets,57.670226,57.670226,-2.194443,-2.194443,2007.0,2007.0,1
Garden Warbler,56.762398,57.687994999999994,-3.678743,-1.7514060000000002,1970.0,2010.0,297
Garganey,57.1,57.7,-2.9,-1.8,1990.0,2008.0,279
Glaucous Gull,56.771381000000005,57.697322,-3.583126,-1.7514060000000002,1995.0,2010.0,517
Glossy Ibis,57.61645,57.661361,-1.9262810000000001,-1.9094849999999999,2009.0,2009.0,9
Goldcrest,56.369629,57.696977000000004,-4.3624279999999995,-1.7514060000000002,1900.0,2010.0,784
Golden Eagle,56.4,58.0,-5.2,-2.7,1900.0,2008.0,160
Golden Oriole,57.228807999999994,57.228807999999994,-3.616599,-3.616599,1990.0,1994.0,1
Golden Pheasant,57.176099,57.176099,-2.2414549999999998,-2.2414549999999998,2000.0,2000.0,1
Golden Plover,56.753240000000005,57.706555,-3.786132,-1.7514060000000002,1900.0,2010.0,916
Goldeneye,55.9,57.7,-5.0,-1.8,1900.0,2010.0,1998
Goldfinch,56.191572,57.697258,-3.895024,-1.7514060000000002,1975.0,2010.0,1489
Goosander,56.25951,57.717907999999994,-4.051080000000001,-1.7514060000000002,1900.0,2010.0,1241
Goose,57.140366,57.37394200000001,-2.357228,-1.9186349999999999,2004.0,2007.0,10
Goshawk,56.6,57.7,-3.9,-1.9,1900.0,2008.0,132
Grasshopper Warbler,56.753240000000005,57.69469599999999,-3.259671,-1.7929869999999999,1984.0,2010.0,220
Great Black-backed Gull,56.708383999999995,57.717907999999994,-3.766883,-1.7514060000000002,1960.0,2009.0,918
Great Crested Grebe,56.203298,57.681819,-3.799139,-1.7254049999999999,1984.0,2010.0,397
Great Grey Shrike,56.378606999999995,57.532582999999995,-4.0014769999999995,-1.960116,1960.0,2010.0,39
Great Northern Diver,56.960565,57.721189,-3.678743,-1.7514060000000002,1983.0,2010.0,566
Great Shearwater,56.956217,57.508494999999996,-2.083834,-1.7763490000000002,2005.0,2005.0,9
Great Skua,56.762398,57.763985999999996,-3.678743,-1.7514060000000002,1970.0,2010.0,819
Great Snipe,57.140386,57.140386,-2.0594669999999997,-2.0594669999999997,2004.0,2004.0,1
Great Spotted Woodpecker,56.027563,57.691134999999996,-4.29325,-1.7763490000000002,1900.0,2010.0,874
Great Tit,55.878003,57.835843999999994,-4.056036,-1.7095919999999998,1900.0,2010.0,1001
Great White Egret,56.771381000000005,57.634401000000004,-2.418818,-0.349152,2000.0,2010.0,101
Greater Sand Plover,57.311075,57.338023,-2.009951,-1.993341,2008.0,2008.0,35
Greater Yellowlegs,57.32904,57.32904,-1.993341,-1.993341,2010.0,2010.0,1
Green Sandpiper,56.0,58.0,-4.0,-2.0,1900.0,2010.0,337
Green Woodpecker,56.166075,57.68311,-3.864008,-2.076851,1970.0,2010.0,166
Green-winged Teal,57.086467000000006,57.625418999999994,-2.373585,-1.842642,2000.0,2010.0,31
Greenfinch,55.878003,57.697322,-3.895024,-1.7846669999999998,1900.0,2010.0,928
Greenish Warbler,57.09545,57.625418999999994,-2.0924009999999997,-1.8426810000000002,1994.0,1994.0,26
Greenland Wheatear,57.517506000000004,57.517506000000004,-1.7929869999999999,-1.7929869999999999,1995.0,1995.0,1
Greenland White-fronted Goose,57.120366000000004,57.634414,-2.7200159999999998,-1.750795,1997.0,2010.0,118
Greenshank,56.75,57.7,-3.68,-1.75,1900.0,2009.0,1285
Grey Heron,55.983013,57.717907999999994,-5.126108,-1.7514060000000002,1900.0,2010.0,1844
Grey Partridge,56.391949,57.697274,-3.8920449999999995,-1.7514060000000002,1984.0,2010.0,507
Grey Phalarope,56.848130000000005,57.697322,-2.280323,-1.7763490000000002,2000.0,2000.0,40
Grey Plover,56.717307,57.697287,-3.752121,-1.7514060000000002,1993.0,2009.0,365
Grey Wagtail,56.378389,57.713452000000004,-3.8300300000000003,-1.7514060000000002,1900.0,2010.0,835
Grey-headed Wagtail,57.22123199999999,57.61645,-2.059597,-1.9095970000000002,2004.0,2004.0,3
Greylag Goose,56.25951,57.69730799999999,-3.80133,-1.7514060000000002,1960.0,2010.0,1355
Grouse,57.387190000000004,57.387190000000004,-3.091211,-3.091211,2006.0,2006.0,1
Gulls,57.140393,57.508494999999996,-2.042943,-1.7763490000000002,2007.0,2007.0,7
Gyr Falcon,57.138147,57.138147,-3.678743,-3.678743,1960.0,1994.0,2
Hawfinch,56.780519999999996,57.607380000000006,-3.304213,-1.8259459999999998,1992.0,2009.0,30
Hen Harrier,56.7,57.7,-4.0,-1.7520099999999998,1900.0,2010.0,555
Herring Gull,56.25951,57.957786999999996,-3.750317,-1.7514060000000002,1900.0,2010.0,1045
Hobby,57.0,57.7,-3.6,-1.8,2000.0,2007.0,39
Honey-buzzard,56.8,57.6,-3.6,-1.9,1990.0,2008.0,17
Hooded Crow,56.520988,57.697322,-3.7498910000000003,-1.7514060000000002,1994.0,2010.0,311
Hoopoe,56.906539,57.607356,-3.8920449999999995,-1.8092119999999998,2002.0,2005.0,14
House Martin,56.25951,57.697322,-4.22238,-1.7514060000000002,1900.0,2010.0,650
House Sparrow,56.185331000000005,57.697322,-3.942483,-1.7514060000000002,1900.0,2010.0,1216
Hume's Warbler,57.014536,57.257171,-2.1581069999999998,-2.043069,2004.0,2004.0,11
Iceland Gull,56.771381000000005,57.697322,-2.815254,-1.7514060000000002,1995.0,2010.0,546
Icterine Warbler,57.131403000000006,57.607422,-2.192776,-1.8092119999999998,2000.0,2000.0,19
Indet. Gull,57.34700600000001,57.697322,-1.993338,-1.7763490000000002,2005.0,2005.0,10
Indet. Harrier,57.355982,57.355982,-1.9600959999999998,-1.9600959999999998,2010.0,2010.0,1
Indet. Pipit,57.30998,57.30998,-2.524523,-2.524523,2009.0,2009.0,1
Indet. Plover,56.18234399999999,57.027938,-3.910682,-3.080659,1998.0,1998.0,3
Indet. Sparrow,57.15780899999999,57.587525,-2.712498,-2.210012,2005.0,2009.0,8
Jack Snipe,56.762398,57.697274,-3.616599,-1.7846669999999998,1985.0,2010.0,178
Jackdaw,54.826663,57.697322,-4.344306,-1.752014,1900.0,2010.0,1219
Jay,56.307055000000005,57.6913,-3.7746180000000003,-2.0099560000000003,1984.0,2009.0,404
Kentish Plover,57.32904,57.32904,-1.993341,-1.993341,1980.0,1981.0,2
Kestrel,54.826663,57.697315,-5.108437,-1.7514060000000002,1900.0,2010.0,1316
King Eider,56.843656,57.679345,-3.0998330000000003,-1.7514060000000002,1981.0,2010.0,217
Kingfisher,56.1589,57.67443000000001,-3.781283,-1.752014,1989.0,2010.0,315
Kittiwake,56.762398,57.70635600000001,-3.678743,-1.7514060000000002,1980.0,2010.0,507
Knot,56.717307,57.717907999999994,-3.618178,-1.7514060000000002,1992.0,2009.0,615
Kumlien's Gull,57.346985,57.697322,-2.026828,-1.7763490000000002,2007.0,2009.0,9
Lapland Bunting,56.951581999999995,57.696977000000004,-3.678743,-1.8092119999999998,1970.0,2010.0,130
Lapwing,55.466919999999995,57.697322,-4.811526000000001,-1.7514060000000002,1900.0,2010.0,2081
Lark Sparrow,57.140227,57.140227,-2.208175,-2.208175,2004.0,2004.0,1
Leach's Petrel,56.969547999999996,57.763985999999996,-3.616599,-1.7763490000000002,1990.0,1994.0,19
Lesser Black-backed Gull,56.25951,57.696977000000004,-3.678743,-0.716286,1960.0,2010.0,750
Lesser Grey Shrike,57.311075,57.32005699999999,-2.009946,-1.9933439999999998,2004.0,2004.0,5
Lesser Redpoll,56.771537,57.715222,-3.7498910000000003,-1.7514060000000002,1990.0,2010.0,267
Lesser White-fronted Goose,57.58501700000001,57.625404,-1.918037,-1.876089,2005.0,2005.0,2
Lesser Whitethroat,56.771537,57.696977000000004,-3.616599,-1.7763490000000002,1985.0,2010.0,201
Lesser Yellowlegs,57.32904,57.625404,-1.993341,-1.876089,2009.0,2009.0,7
Light-bellied Brent Goose,56.834672999999995,57.697322,-2.373585,-1.7763490000000002,2000.0,2008.0,187
Linnet,56.232792,57.697322,-4.3624279999999995,-1.752014,1984.0,2010.0,809
Little Auk,56.655702000000005,57.706304,-4.01909,-1.7514060000000002,1986.0,2009.0,336
Little Bunting,57.134567000000004,57.134567000000004,-2.579862,-2.579862,2004.0,2004.0,2
Little Egret,57.10442,57.670363,-3.583126,-0.349152,2000.0,2009.0,362
Little Grebe,56.203298,57.681819,-3.766883,-1.7514060000000002,1900.0,2010.0,978
Little Gull,56.753415000000004,57.697322,-3.678743,-1.7514060000000002,1960.0,2007.0,515
Little Ringed Plover,57.1,57.6,-2.5,-1.8,2000.0,2010.0,90
Little Stint,57.086467000000006,57.697287,-2.357054,-1.7763490000000002,1995.0,2008.0,156
Little Tern,56.8,57.7,-2.4,-1.8,1995.0,1995.0,70
Long-billed Dowitcher,57.319956999999995,57.355989,-2.15938,-1.993336,2000.0,2000.0,4
Long-eared Owl,56.276711999999996,57.697322,-3.765595,-1.8263310000000001,1900.0,2008.0,132
Long-tailed Duck,56.25951,57.706555,-3.703156,-1.7514060000000002,1992.0,2010.0,789
